珂쇌,侊똑
珂쇌,侊똑
2025-08-27 21:02:30,28.8
2025-08-27 21:02:32,28.6
2025-08-27 21:02:35,28.5
2025-08-27 21:02:40,28.2
2025-08-27 21:02:42,28.2
2025-08-27 21:02:45,28
2025-08-27 21:02:48,28.9
2025-08-27 21:02:50,29
2025-08-27 21:02:53,29
2025-08-27 21:02:56,28.8
2025-08-27 21:02:58,28.5
2025-08-27 21:03:01,28.5
2025-08-27 21:03:04,28.5
2025-08-27 21:03:06,28.3
2025-08-27 21:03:09,27.9
2025-08-27 21:03:12,27.8
2025-08-27 21:03:14,28
2025-08-27 21:03:17,28
2025-08-27 21:03:20,28
2025-08-27 21:03:22,27.8
2025-08-27 21:03:26,27.5
2025-08-27 21:03:29,27.6
2025-08-27 21:03:32,27.5
2025-08-27 21:03:34,27.4
2025-08-27 21:03:37,27.4
2025-08-27 21:03:40,27.3
2025-08-27 21:03:42,27.4
2025-08-27 21:03:49,27.2
2025-08-27 21:03:52,27.1
2025-08-27 21:03:55,27.1
2025-08-27 21:03:57,27.1
2025-08-27 21:04:00,27
2025-08-27 21:04:03,27
2025-08-27 21:04:07,26.9
2025-08-27 21:04:10,26.5
2025-08-27 21:04:13,26.8
2025-08-27 21:04:15,26.8
2025-08-27 21:04:18,26.8
2025-08-27 21:04:21,25.9
2025-08-27 21:04:23,26.7
2025-08-27 21:04:26,26.8
2025-08-27 21:04:33,26.6
2025-08-27 21:04:36,26.6
2025-08-27 21:04:39,26.6
2025-08-27 21:04:41,26.5
2025-08-27 21:04:44,26.5
2025-08-27 21:04:47,26.5
2025-08-27 21:04:51,26.5
2025-08-27 21:04:54,26.6
2025-08-27 21:04:57,26.5
2025-08-27 21:04:59,26.5
2025-08-27 21:05:02,26.5
2025-08-27 21:05:05,26.5
2025-08-27 21:05:07,26.5
2025-08-27 21:05:13,26.6
2025-08-27 21:05:15,26.5
2025-08-27 21:05:18,26.6
2025-08-27 21:05:21,23.9
2025-08-27 21:05:23,26.4
2025-08-27 21:05:26,24.1
2025-08-27 21:05:29,26.4
2025-08-27 21:05:31,26.7
2025-08-27 21:05:34,26.5
2025-08-27 21:05:41,26.4
2025-08-27 21:05:43,26.5
2025-08-27 21:05:46,26.5
2025-08-27 21:05:49,26.5
2025-08-27 21:05:51,26.5
2025-08-27 21:05:59,26.4
2025-08-27 21:06:02,26.4
2025-08-27 21:06:05,26.4
2025-08-27 21:06:07,26.4
2025-08-27 21:06:10,26.4
2025-08-27 21:06:13,26.4
2025-08-27 21:06:21,26.4
2025-08-27 21:06:23,26.4
2025-08-27 21:06:26,26.4
2025-08-27 21:06:28,26.3
2025-08-27 21:06:31,26.3
2025-08-27 21:06:39,26.3
2025-08-27 21:06:41,26.3
2025-08-27 21:06:44,26.3
2025-08-27 21:06:46,26.2
2025-08-27 21:06:49,26.2
2025-08-27 21:06:52,26.2
2025-08-27 21:07:01,26.1
2025-08-27 21:07:04,26.1
2025-08-27 21:07:07,26.1
2025-08-27 21:07:09,26
2025-08-27 21:07:12,26
2025-08-27 21:07:19,26
2025-08-27 21:07:22,25.9
2025-08-27 21:07:25,25.9
2025-08-27 21:07:27,25.9
2025-08-27 21:07:30,25.9
2025-08-27 21:07:33,25.9
2025-08-27 21:07:42,25.8
2025-08-27 21:07:45,25.8
2025-08-27 21:07:47,25.8
2025-08-27 21:07:50,25.8
2025-08-27 21:07:53,25.8
2025-08-27 21:08:00,25.7
2025-08-27 21:08:03,25.7
2025-08-27 21:08:05,25.7
2025-08-27 21:08:08,25.7
2025-08-27 21:08:11,25.6
2025-08-27 21:08:13,25.6
2025-08-27 21:08:23,25.6
2025-08-27 21:08:26,25.6
2025-08-27 21:08:28,25.6
2025-08-27 21:08:31,25.5
2025-08-27 21:08:34,25.5
2025-08-27 21:08:41,25.5
2025-08-27 21:08:44,25.5
2025-08-27 21:08:46,25.3
2025-08-27 21:08:49,25.8
2025-08-27 21:08:52,29.4
2025-08-27 21:08:54,30
2025-08-27 21:08:57,31.8
2025-08-27 21:09:04,31.1
2025-08-27 21:09:07,30.8
2025-08-27 21:09:10,30.7
2025-08-27 21:09:12,30.7
2025-08-27 21:09:15,30.6
2025-08-27 21:09:18,30.5
2025-08-27 21:09:20,30.3
2025-08-27 21:09:27,30
2025-08-27 21:09:30,29.9
2025-08-27 21:09:32,29.5
2025-08-27 21:09:35,29.5
2025-08-27 21:09:38,29.8
2025-08-27 21:09:40,29.3
2025-08-27 21:09:43,29.1
2025-08-27 21:09:46,29
2025-08-27 21:09:48,28.8
2025-08-27 21:09:51,29
2025-08-27 21:09:54,28.6
2025-08-27 21:09:56,28.4
2025-08-27 21:09:59,28.4
2025-08-27 21:10:02,28.3
2025-08-27 21:10:09,27.9
2025-08-27 21:10:12,27.8
2025-08-27 21:10:14,27.7
2025-08-27 21:10:17,27.6
2025-08-27 21:10:20,27.5
2025-08-27 21:10:22,27.4
2025-08-27 21:10:30,27.2
2025-08-27 21:10:32,27.1
2025-08-27 21:10:35,27
2025-08-27 21:10:38,26.9
2025-08-27 21:10:40,26.9
2025-08-27 21:10:48,26.6
2025-08-27 21:10:50,26.6
2025-08-27 21:10:53,26.5
2025-08-27 21:10:56,26.5
2025-08-27 21:10:58,26.5
2025-08-27 21:11:01,26.3
2025-08-27 21:11:04,26.4
2025-08-27 21:11:11,26.3
2025-08-27 21:11:13,25.6
2025-08-27 21:11:16,26.1
2025-08-27 21:11:18,26.1
2025-08-27 21:11:21,26
2025-08-27 21:11:29,25.9
2025-08-27 21:11:31,25.9
2025-08-27 21:11:34,25.9
2025-08-27 21:11:36,25.8
2025-08-27 21:11:39,25.8
2025-08-27 21:11:42,25.8
2025-08-27 21:11:51,25.6
2025-08-27 21:11:54,25.6
2025-08-27 21:11:57,25.6
2025-08-27 21:11:59,25.6
2025-08-27 21:12:02,25.6
2025-08-27 21:12:12,25.5
2025-08-27 21:12:15,25.5
2025-08-27 21:12:17,25.5
2025-08-27 21:12:20,25.5
2025-08-27 21:12:23,25.5
2025-08-27 21:12:30,25.4
2025-08-27 21:12:33,25.4
2025-08-27 21:12:35,25.4
2025-08-27 21:12:38,25.4
2025-08-27 21:12:41,25.4
2025-08-27 21:12:43,25.4
2025-08-27 21:12:53,25.4
2025-08-27 21:12:55,25.4
2025-08-27 21:12:58,25.4
2025-08-27 21:13:01,25.4
2025-08-27 21:13:04,25.4
2025-08-27 21:13:11,25.3
2025-08-27 21:13:13,25.3
2025-08-27 21:13:16,25.3
2025-08-27 21:13:19,25.3
2025-08-27 21:13:21,25.3
2025-08-27 21:13:24,25.3
2025-08-27 21:13:34,25.4
2025-08-27 21:13:36,25.4
2025-08-27 21:13:39,25.4
2025-08-27 21:13:42,25.4
2025-08-27 21:13:44,25.4
2025-08-27 21:13:52,25.4
2025-08-27 21:13:54,25.4
2025-08-27 21:13:57,25.4
2025-08-27 21:14:00,25.4
2025-08-27 21:14:02,25.4
2025-08-27 21:14:05,25.4
2025-08-27 21:14:14,25.5
2025-08-27 21:14:17,25.5
2025-08-27 21:14:20,25.5
2025-08-27 21:14:22,25.5
2025-08-27 21:14:25,25.5
2025-08-27 21:14:35,25.5
2025-08-27 21:14:38,25.6
2025-08-27 21:14:40,25.6
2025-08-27 21:14:43,25.6
2025-08-27 21:14:46,25.6
2025-08-27 21:14:53,25.6
2025-08-27 21:14:56,25.6
2025-08-27 21:14:58,25.6
2025-08-27 21:15:01,25.6
2025-08-27 21:15:04,25.6
2025-08-27 21:15:06,25.6
2025-08-27 21:15:16,25.6
2025-08-27 21:15:19,25.7
2025-08-27 21:15:21,25.7
2025-08-27 21:15:24,25.7
2025-08-27 21:15:27,25.7
2025-08-27 21:15:34,25.7
2025-08-27 21:15:37,25.7
2025-08-27 21:15:39,25.7
2025-08-27 21:15:42,25.8
2025-08-27 21:15:45,25.7
2025-08-27 21:15:47,25.8
2025-08-27 21:15:57,25.8
2025-08-27 21:15:59,25.8
2025-08-27 21:16:02,25.8
2025-08-27 21:16:05,25.8
2025-08-27 21:16:07,25.8
2025-08-27 21:16:15,25.8
2025-08-27 21:16:17,25.8
2025-08-27 21:16:20,25.8
2025-08-27 21:16:23,25.8
2025-08-27 21:16:25,25.8
2025-08-27 21:16:28,25.8
2025-08-27 21:16:38,25.8
2025-08-27 21:16:40,25.8
2025-08-27 21:16:43,25.8
2025-08-27 21:16:45,25.8
2025-08-27 21:16:48,25.8
2025-08-27 21:16:56,25.9
2025-08-27 21:16:58,25.9
2025-08-27 21:17:01,25.9
2025-08-27 21:17:03,25.9
2025-08-27 21:17:06,25.9
2025-08-27 21:17:09,25.9
2025-08-27 21:17:18,25.9
2025-08-27 21:17:21,25.9
2025-08-27 21:17:24,25.9
2025-08-27 21:17:26,25.9
2025-08-27 21:17:29,25.9
2025-08-27 21:17:39,25.9
2025-08-27 21:17:42,25.9
2025-08-27 21:17:44,25.9
2025-08-27 21:17:47,25.9
2025-08-27 21:17:50,25.9
2025-08-27 21:17:57,25.9
2025-08-27 21:18:00,25.9
2025-08-27 21:18:02,25.9
2025-08-27 21:18:05,25.9
2025-08-27 21:18:08,25.9
2025-08-27 21:18:10,25.9
2025-08-27 21:18:20,25.9
2025-08-27 21:18:22,26
2025-08-27 21:18:25,26
2025-08-27 21:18:28,25.9
2025-08-27 21:18:31,26
2025-08-27 21:18:38,26
2025-08-27 21:18:40,26
2025-08-27 21:18:43,26
2025-08-27 21:18:46,26
2025-08-27 21:18:48,26
2025-08-27 21:19:01,26
2025-08-27 21:19:03,26
2025-08-27 21:19:06,26
2025-08-27 21:19:09,26
2025-08-27 21:19:11,26
2025-08-27 21:19:19,26
2025-08-27 21:19:21,26
2025-08-27 21:19:24,26
2025-08-27 21:19:27,26
2025-08-27 21:19:29,26
2025-08-27 21:19:32,26
2025-08-27 21:19:35,26.1
2025-08-27 21:19:41,26.8
2025-08-27 21:19:44,27
2025-08-27 21:19:47,27.2
2025-08-27 21:19:49,27.3
2025-08-27 21:19:52,27.5
2025-08-27 21:19:55,27.6
2025-08-27 21:19:59,27.8
2025-08-27 21:20:02,27.8
2025-08-27 21:20:05,27.9
2025-08-27 21:20:07,27.9
2025-08-27 21:20:10,28
2025-08-27 21:20:13,28
2025-08-27 21:20:15,28
2025-08-27 21:20:22,28
2025-08-27 21:20:25,28
2025-08-27 21:20:27,28
2025-08-27 21:20:30,28
2025-08-27 21:20:33,28
2025-08-27 21:20:35,28
2025-08-27 21:20:40,28
2025-08-27 21:20:43,27.9
2025-08-27 21:20:46,27.9
2025-08-27 21:20:48,27.9
2025-08-27 21:20:51,27.9
2025-08-27 21:20:53,27.9
2025-08-27 21:20:56,27.8
2025-08-27 21:21:03,27.8
2025-08-27 21:21:06,27.8
2025-08-27 21:21:08,27.7
2025-08-27 21:21:11,27.7
2025-08-27 21:21:14,27.6
2025-08-27 21:21:16,27.6
2025-08-27 21:21:21,27.6
2025-08-27 21:21:24,27.5
2025-08-27 21:21:26,27.5
2025-08-27 21:21:29,27.5
2025-08-27 21:21:32,27.5
2025-08-27 21:21:34,27.4
2025-08-27 21:21:37,27.4
2025-08-27 21:21:44,27.3
2025-08-27 21:21:46,27.3
2025-08-27 21:21:49,27.3
珂쇌,侊똑
珂쇌,侊똑
2025-08-28 13:07:10,24.7
2025-08-28 13:07:13,26
2025-08-28 13:07:16,26.3
2025-08-28 13:07:19,26
2025-08-28 13:07:22,26.1
2025-08-28 13:07:27,32.8
2025-08-28 13:07:30,27.8
2025-08-28 13:07:35,25.3
2025-08-28 13:07:37,29.4
2025-08-28 13:07:40,31.3
2025-08-28 13:07:43,25.3
2025-08-28 13:07:46,26
2025-08-28 13:07:49,26.3
2025-08-28 13:07:52,26.5
2025-08-28 13:07:54,25.9
2025-08-28 13:07:57,23.6
2025-08-28 13:08:00,26.4
2025-08-28 13:08:03,26.3
2025-08-28 13:08:06,26.4
2025-08-28 13:08:08,26.4
2025-08-28 13:08:11,26.4
2025-08-28 13:08:14,26.4
2025-08-28 13:08:16,26.4
2025-08-28 13:08:19,26.8
2025-08-28 13:08:22,26.3
2025-08-28 13:08:25,28
2025-08-28 13:08:27,26.3
2025-08-28 13:08:30,26.6
2025-08-28 13:08:33,26.1
2025-08-28 13:08:36,25.7
2025-08-28 13:08:38,26.4
2025-08-28 13:08:42,26.6
2025-08-28 13:08:44,25.9
2025-08-28 13:08:48,26.6
2025-08-28 13:08:51,26.6
2025-08-28 13:08:54,26.6
2025-08-28 13:08:56,26.7
2025-08-28 13:08:59,26.8
2025-08-28 13:09:02,26.8
2025-08-28 13:09:05,26.9
珂쇌,侊똑
珂쇌,侊똑
2026-06-12 11:02:21,27.7
2026-06-12 11:02:24,27.7
2026-06-12 11:02:26,27.7
2026-06-12 11:02:29,27.7
2026-06-12 11:02:32,27.7
2026-06-12 11:02:34,27.7
2026-06-12 11:02:37,27.7
2026-06-12 11:02:40,27.7
2026-06-12 11:02:43,27.6
2026-06-12 11:02:47,27.6
2026-06-12 11:02:51,27.7
2026-06-12 11:02:54,27.7
2026-06-12 11:02:57,28
2026-06-12 11:03:00,27.8
2026-06-12 11:03:05,27.7
2026-06-12 11:03:09,27.7
2026-06-12 11:03:12,27.7
2026-06-12 11:03:15,27.7
2026-06-12 11:03:17,27.7
2026-06-12 11:03:20,27.6
2026-06-12 11:03:23,27.7
2026-06-12 11:03:25,27.6
2026-06-12 11:03:28,27.7
2026-06-12 11:03:31,27.7
2026-06-12 11:03:34,27.7
2026-06-12 11:03:37,27.6
2026-06-12 11:03:40,27.6
2026-06-12 11:03:43,26.3
2026-06-12 11:03:46,27.8
2026-06-12 11:03:49,28.1
2026-06-12 11:03:52,28.3
2026-06-12 11:11:30,27.9
2026-06-12 11:11:33,28.8
2026-06-12 11:11:36,27.9
2026-06-12 11:11:39,27.9
2026-06-12 11:11:42,27.9
2026-06-12 11:11:45,27.9
2026-06-12 11:11:47,27.9
2026-06-12 11:11:50,27.5
2026-06-12 11:11:53,28
2026-06-12 11:11:56,27.9
2026-06-12 11:11:59,27.9
2026-06-12 11:12:02,27.9
2026-06-12 11:12:04,27.9
2026-06-12 11:12:07,27.9
2026-06-12 11:12:10,28
2026-06-12 11:12:13,27.9
2026-06-12 11:12:16,27.9
2026-06-12 11:12:19,28
2026-06-12 11:12:22,28
2026-06-12 11:12:25,27.8
2026-06-12 11:12:27,27.9
2026-06-12 11:12:30,27.9
2026-06-12 11:12:33,27.9
2026-06-12 11:12:36,27.9
2026-06-12 11:12:38,26.6
2026-06-12 11:12:42,27.9
2026-06-12 11:12:44,28
2026-06-12 11:12:47,26.4
2026-06-12 11:12:50,27.9
2026-06-12 11:12:52,27.9
2026-06-12 11:12:55,27.9
2026-06-12 11:12:58,27.9
2026-06-12 11:13:00,27.9
2026-06-12 11:13:03,27.9
2026-06-12 11:13:06,27.9
2026-06-12 11:13:08,27.9
2026-06-12 11:13:11,27.9
2026-06-12 11:13:14,27.9
2026-06-12 11:13:16,27.9
2026-06-12 11:13:19,27.9
2026-06-12 11:13:22,27.9
2026-06-12 11:13:26,27.8
2026-06-12 11:13:28,27.9
2026-06-12 11:13:32,27.8
2026-06-12 11:13:34,27.8
2026-06-12 11:13:37,27.8
2026-06-12 11:13:40,27.8
2026-06-12 11:13:43,27.8
2026-06-12 11:13:46,27.8
2026-06-12 11:13:49,27.8
2026-06-12 11:13:52,27.8
2026-06-12 11:13:54,27.8
2026-06-12 11:13:58,27.8
2026-06-12 11:14:00,27.8
2026-06-12 11:14:03,27.8
2026-06-12 11:16:31,26.9
2026-06-12 11:16:34,29.9
2026-06-12 11:16:37,27.2
2026-06-12 11:16:39,27.4
2026-06-12 11:16:42,27
2026-06-12 11:16:45,23.3
2026-06-12 11:16:47,27.5
2026-06-12 11:16:50,29
2026-06-12 11:16:53,27.5
2026-06-12 11:16:56,27.4
2026-06-12 11:16:58,27.1
2026-06-12 11:17:01,27.2
2026-06-12 11:17:04,27.6
2026-06-12 11:17:07,27.4
2026-06-12 11:17:09,27.4
2026-06-12 11:17:12,27.5
2026-06-12 11:17:14,27.3
2026-06-12 11:17:17,25.6
2026-06-12 11:17:20,23.4
2026-06-12 11:17:23,27.4
2026-06-12 11:17:26,27.5
2026-06-12 11:17:29,27.4
2026-06-12 11:17:31,27.3
2026-06-12 11:17:34,27.4
2026-06-12 11:17:40,27.4
2026-06-12 11:17:42,27.4
2026-06-12 11:17:45,27.4
2026-06-12 11:17:48,27.3
2026-06-12 11:17:51,27.4
2026-06-12 11:17:53,27.4
2026-06-12 11:17:56,27.4
2026-06-12 11:17:59,28
2026-06-12 11:18:02,27.3
2026-06-12 11:18:05,27.3
2026-06-12 11:18:08,28.6
2026-06-12 11:18:10,27.3
2026-06-12 11:18:13,27.5
2026-06-12 11:18:16,27.3
2026-06-12 11:18:18,27.3
2026-06-12 11:18:22,25
2026-06-12 11:18:26,26.8
2026-06-12 11:18:29,27.4
2026-06-12 11:18:31,27.1
2026-06-12 11:18:34,27.1
2026-06-12 11:18:37,28.4
2026-06-12 11:18:40,27.2
2026-06-12 11:18:43,28
2026-06-12 11:18:45,27.5
2026-06-12 11:18:48,27.8
2026-06-12 11:18:51,26.9
2026-06-12 11:18:53,27.4
2026-06-12 11:18:56,27.8
2026-06-12 11:18:58,27.3
2026-06-12 11:19:01,27.5
2026-06-12 11:19:04,27.5
2026-06-12 11:19:08,27.5
2026-06-12 11:19:11,27.5
2026-06-12 11:19:13,25.1
2026-06-12 11:19:16,27.8
2026-06-12 11:19:19,28.1
2026-06-12 11:19:22,27.6
2026-06-12 11:19:24,27.4
2026-06-12 11:19:27,28.1
2026-06-12 11:19:30,27.5
2026-06-12 11:19:32,27.6
2026-06-12 11:19:35,27.5
2026-06-12 11:19:38,27.5
2026-06-12 11:19:41,27.3
2026-06-12 11:19:43,28.3
2026-06-12 11:19:46,28.3
2026-06-12 11:19:49,27.9
2026-06-12 11:19:51,27.6
2026-06-12 11:19:54,27.6
2026-06-12 11:19:57,27.3
2026-06-12 11:19:59,27.4
2026-06-12 11:20:02,27.5
2026-06-12 11:20:05,27.5
2026-06-12 11:20:07,27.5
2026-06-12 11:20:10,27.4
2026-06-12 11:20:13,27.5
珂쇌,侊똑
2026-06-17 15:16:55,26.8
2026-06-17 15:16:57,27.1
2026-06-17 15:17:00,26.8
2026-06-17 15:17:04,26.8
2026-06-17 15:17:07,26.8
2026-06-17 15:17:10,26.9
2026-06-17 15:17:13,26.9
2026-06-17 15:17:15,27
2026-06-17 15:17:18,26.9
2026-06-17 15:17:21,27.9
2026-06-17 15:17:24,27
2026-06-17 15:17:26,26.8
2026-06-17 15:17:30,26.6
2026-06-17 15:17:32,27.1
2026-06-17 15:17:35,25.6
2026-06-17 15:17:38,26.8
2026-06-17 15:17:41,26.9
2026-06-17 15:17:43,26.9
2026-06-17 15:17:46,26.9
2026-06-17 15:17:49,26.9
2026-06-17 15:17:52,26.8
2026-06-17 15:17:54,26.9
2026-06-17 15:17:57,26.9
2026-06-17 15:18:00,26.5
2026-06-17 15:18:03,26.8
2026-06-17 15:18:06,27.3
2026-06-17 15:18:08,26.8
2026-06-17 15:18:11,26.8
2026-06-17 15:18:14,26.7
2026-06-17 15:18:16,26.8
2026-06-17 15:18:19,26.8
2026-06-17 15:18:21,26.8
2026-06-17 15:18:24,26.8
2026-06-17 15:18:26,26.8
2026-06-17 15:18:29,26.8
2026-06-17 15:18:32,26.8
2026-06-17 15:18:34,26.8
2026-06-17 15:18:37,26.8
2026-06-17 15:18:39,26.9
2026-06-17 15:18:42,26.8
2026-06-17 15:18:45,26.8
2026-06-17 15:18:47,26.8
2026-06-17 15:18:51,26.8
2026-06-17 15:18:51,26.8
2026-06-17 15:18:54,27
2026-06-17 15:18:57,26.8
2026-06-17 15:19:00,26.9
2026-06-17 15:19:02,26.8
2026-06-17 15:19:05,26.9
2026-06-17 15:19:08,27.4
2026-06-17 15:19:11,28
2026-06-17 15:19:13,26.1
2026-06-17 15:19:16,26.5
2026-06-17 15:19:19,27.3
2026-06-17 15:19:22,27.3
2026-06-17 15:19:25,26
2026-06-17 15:19:28,26.8
2026-06-17 15:19:31,26.8
2026-06-17 15:19:34,26.9
2026-06-17 15:19:36,26.8
2026-06-17 15:19:40,26.8
2026-06-17 15:19:43,26.8
2026-06-17 15:19:46,26.8
2026-06-17 15:19:49,26.7
2026-06-17 15:19:52,26.7
2026-06-17 15:19:55,26.7
2026-06-17 15:19:58,26.7
2026-06-17 15:20:01,26.7
2026-06-17 15:20:04,26.7
2026-06-17 15:20:07,26.8
2026-06-17 15:20:10,26.7
2026-06-17 15:20:13,26.7
2026-06-17 15:20:16,26.8
2026-06-17 15:20:19,26.7
2026-06-17 15:20:22,26.7
2026-06-17 15:20:25,26.7
2026-06-17 15:20:28,26.6
2026-06-17 15:20:31,26.8
2026-06-17 15:20:34,26.7
2026-06-17 15:20:37,26.6
2026-06-17 15:20:40,26.7
2026-06-17 15:20:43,26.6
2026-06-17 15:20:46,26.6
2026-06-17 15:20:49,26.6
2026-06-17 15:20:52,26.6
2026-06-17 15:20:55,26.6
2026-06-17 15:20:58,26.6
2026-06-17 15:21:01,26.6
2026-06-17 15:21:04,26.7
2026-06-17 15:21:07,26.6
2026-06-17 15:21:11,26.6
2026-06-17 15:21:17,26.7
2026-06-17 15:21:20,26.6
2026-06-17 15:21:23,26.7
2026-06-17 15:21:26,26.6
2026-06-17 15:21:29,26.6
2026-06-17 15:21:31,26.6
2026-06-17 15:21:35,26.8
2026-06-17 15:21:38,26.6
2026-06-17 15:21:41,26.6
2026-06-17 15:21:44,26.6
2026-06-17 15:21:46,26.6
2026-06-17 15:21:50,26.6
2026-06-17 15:21:53,26.7
2026-06-17 15:21:56,26.6
2026-06-17 15:21:59,26.6
2026-06-17 15:22:02,26.6
2026-06-17 15:22:05,26.6
2026-06-17 15:22:08,26.6
2026-06-17 15:22:11,26.6
2026-06-17 15:22:14,26.6
